ลำดับ,รหัสสินค้า,ชื่อรุ่นสินค้า,ชิปเซ็ต,หน่วยความจำ (VRAM),ราคา,ลิงก์สินค้า,TDP (W)
11,JIB-VGA-10012,VGA (PCF) POWERCOLOR FIGHTER AMD RADEON RX 7600 8GB GDDR6,AMD,8 GB GDDR6,"8,990",https://www.jib.co.th/web/product/readProduct/77537/51/VGA--%E0%B8%81%E0%B8%B2%E0%B8%A3%E0%B9%8C%E0%B8%94%E0%B9%81%E0%B8%AA%E0%B8%94%E0%B8%87%E0%B8%9C%E0%B8%A5--POWERCOLOR-FIGHTER-AMD-RADEON-RX-7600-8GB-GDDR6--RX7600-8G-F-V2-?srsltid=AU7gw4UdAOPH0FCc5zaYcQTZm_JvvnzrXnZ_fdy1t3twGTE3D1qldPlS,165
12,JIB-VGA-10014,VGA (ASUS) ASUS DUAL GEFORCE RTX 5050 8GB GDDR6 OC EDITION,NVIDIA,8GB GDDR6,"9,590",https://www.jib.co.th/web/product/readProduct/78434/ASUS-DUAL-GEFORCE-RTX-5050-8GB-GDDR6-OC-EDITION,130
13,JIB-VGA-10015,VGA (MSI) MSI GEFORCE RTX 5080 16G VANGUARD SOC LAUNCH EDITION - 16GB GDDR7,NVIDIA,16 GB GDDR7,"51,551",https://www.jib.co.th/web/product/readProduct/73980/VGA--%E0%B8%81%E0%B8%B2%E0%B8%A3%E0%B9%8C%E0%B8%94%E0%B9%81%E0%B8%AA%E0%B8%94%E0%B8%87%E0%B8%9C%E0%B8%A5--MSI-GEFORCE-RTX-5080-16G-VANGUARD-SOC-LAUNCH-EDITION---16GB-GDDR7?srsltid=AU7gw4UExDup_RCR3wTEP4lOO529Vr4Nf0B_f1zAIqUCaFr4STvUh4QT,360
14,JIB-VGA-10017,VGA (MSI) MSI GEFORCE RTX 4060 TI GAMING X SLIM 8G - 8GB GDDR6,NVIDIA,8 GB GDDR6,"15,200",https://www.jib.co.th/web/product/readProduct/67823/MSI-GEFORCE-RTX-4060-TI-GAMING-X-SLIM-8G---8GB-GDDR6?srsltid=AU7gw4XqLGup7-ysGU8dCBc-ypdGPz_L0FFwBF63bVIlmyvorZXFODnU,160
15,JIB-VGA-10018,VGA (GIGABYTE) GIGABYTE GEFORCE RTX 5070 WINDFORCE OC SFF 12G - 12GB GDDR7,NVIDIA,12 GB GDDR7,"32,490",https://www.jib.co.th/web/product/readProduct/74871/51/VGA--%E0%B8%81%E0%B8%B2%E0%B8%A3%E0%B9%8C%E0%B8%94%E0%B9%81%E0%B8%AA%E0%B8%94%E0%B8%87%E0%B8%9C%E0%B8%A5--GIGABYTE-GEFORCE-RTX-5070-WINDFORCE-OC-SFF-12G---12GB-GDDR7?srsltid=AU7gw4X05xBu61d7Hsv15ZovwdE0MW6aZTC-OSXWnQn3r8QqbHYEmr5l,250
16,JIB-VGA-10019,VGA (ASUS) ASUS PRIME RADEON RX 9070 OC EDITION 16GB GDDR6,AMD,16 GB GDDR6,"22,990",https://www.jib.co.th/web/product/readProduct/74891/3009/VGA--%E0%B8%81%E0%B8%B2%E0%B8%A3%E0%B9%8C%E0%B8%94%E0%B9%81%E0%B8%AA%E0%B8%94%E0%B8%87%E0%B8%9C%E0%B8%A5--ASUS-PRIME-RADEON-RX-9070-OC-EDITION-16GB-GDDR6--PRIME-RX9070-O16G-?srsltid=AU7gw4VcuX0izQiyOMldiTBgJ5CHoWVPiVKIrnFr5uptKqKnY89bKqb4,220
17,JIB-VGA-10020,VGA (ASROCK) ASROCK AMD RADEON RX 9070 XT STEEL LEGEND 16GB - 16GB GDDR6,AMD,16 GB GDDR6,"25,990",https://www.jib.co.th/web/product/readProduct/74908/3009/VGA--%E0%B8%81%E0%B8%B2%E0%B8%A3%E0%B9%8C%E0%B8%94%E0%B9%81%E0%B8%AA%E0%B8%94%E0%B8%87%E0%B8%9C%E0%B8%A5--ASROCK-AMD-RADEON-RX-9070-XT-STEEL-LEGEND-16GB---16GB-GDDR6--RX9070XT-SL-16G-?srsltid=AU7gw4W_eWrdb2SgELvGnm2PyxZIFe_clB_spMeyI2HTDeTvF5BJWRBc,304
18,JIB-VGA-10021,VGA (GALAX) GALAX GEFORCE RTX 5070 1-CLICK OC - 12GB GDDR7,NVIDIA,12 GB GDDR7,"31,500",https://www.jib.co.th/web/product/readProduct/74866/51/VGA--%E0%B8%81%E0%B8%B2%E0%B8%A3%E0%B9%8C%E0%B8%94%E0%B9%81%E0%B8%AA%E0%B8%94%E0%B8%87%E0%B8%9C%E0%B8%A5--GALAX-GEFORCE-RTX-5070-1-CLICK-OC---12GB-GDDR7?srsltid=AU7gw4XjaefaiKjuen605OALeBRU54VI6K12SjrQwVNhRCDiqSNazldS,250
19,JIB-VGA-10022,VGA (ASROCK) ASROCK AMD RADEON RX 7600 STEEL LEGEND 8GB OC - 8GB GDDR6,AMD,8 GB GDDR6,"11,000",https://www.jib.co.th/web/product/readProduct/63130/VGA--%E0%B8%81%E0%B8%B2%E0%B8%A3%E0%B9%8C%E0%B8%94%E0%B9%81%E0%B8%AA%E0%B8%94%E0%B8%87%E0%B8%9C%E0%B8%A5--ASROCK-AMD-RADEON-RX-7600-STEEL-LEGEND-8GB-OC---8GB-GDDR6--RX7600-SL-8GO-?srsltid=AU7gw4VptmClxpI9lumZW7OUNRnkifk5uL0kRJSAOpmyeEsNMsY_FHrK,165
20,JIB-VGA-10023,VGA (GIGABYTE) GIGABYTE RADEON RX 9070 GAMING OC 16G - 16GB GDDR6,AMD,16 GB GDDR6,"22,900",https://www.jib.co.th/web/product/readProduct/74939/3009/VGA--%E0%B8%81%E0%B8%B2%E0%B8%A3%E0%B9%8C%E0%B8%94%E0%B9%81%E0%B8%AA%E0%B8%94%E0%B8%87%E0%B8%9C%E0%B8%A5--GIGABYTE-RADEON-RX-9070-GAMING-OC-16G---16GB-GDDR6--GV-R9070GAMING-OC-16GD-?srsltid=AU7gw4WEHiH1vo9sPCLRQtM8EhNodgmJkWvxTruaGTlMTg7PVpvzd3lK,220
21,JIB-VGA-10024,VGA (ASUS) ASUS DUAL GEFORCE RTX 5060 TI 16GB GDDR7 OC EDITION,NVIDIA,16 GB GDDR7,"25,900",https://www.jib.co.th/web/product/readProduct/75999/51/VGA--%E0%B8%81%E0%B8%B2%E0%B8%A3%E0%B9%8C%E0%B8%94%E0%B9%81%E0%B8%AA%E0%B8%94%E0%B8%87%E0%B8%9C%E0%B8%A5--ASUS-DUAL-GEFORCE-RTX-5060-TI-16GB-GDDR7-OC-EDITION--DUAL-RTX5060TI-O16G-?srsltid=AU7gw4U288CASuJCklkFGlg8nEUOgpir9DT_gP8ESo4OKHW47I_6dvaB,180
